Name,Type,URL,Positioning,Pricing_signal,Strengths,Weaknesses,Our_wedge,Audit_depth,Source_file
incometax.gov.in (DIY),India_direct,https://www.incometax.gov.in,Official free e-filing + e-verify,Free,Authoritative; pre-fill; the only place you can actually file,"Session timeouts ('Please Wait' loops), confusing utilities, zero hand-holding",Calm copy-ready walkthrough that mirrors the portal's exact section order,Landscape_only,research/SIMILAR_PLATFORMS.md
ClearTax (Clear),India_direct,https://cleartax.in,"DIY + autofill, broad; 'File ITR in 3 simple steps'",Rs 349-4000+ tiered,Form 16 visual hero; multi Form 16 merge; capital gains/crypto; trust volume,Pricier; tier upsell maze; pay before mismatch shown; discontinuing TaxCloud 2026,Mismatch-first reconcile before any copy to portal; value-before-pay,Full_journal,COMPETITOR_ANALYSIS.md; competitor-audit/CLEARTAX_FILING_JOURNAL.md
Quicko,India_direct,https://quicko.com,"DIY + broker autofill, trader-focused; 'File in ~15 min'",Free salaried; ~Rs 799-999 paid; expert Rs 2499,Broker import (Zerodha/Angel One); F&O turnover wizard; ITD autofill; expandable income nav,Smaller broker list than ClearTax; slower July support; mismatch is a step not the moat,Mismatch as hero + honest companion (not auto-file),Full_journal,COMPETITOR_ANALYSIS.md; competitor-audit/QUICKO_FILING_JOURNAL.md
TaxBuddy,India_direct,https://taxbuddy.in,Software + assigned CA review,Rs 500-2500,AI pre-fill + human CA hand-off,CA quality varies; turnaround slows in July; pricing confusion,Self-serve clarity without forced CA dependency,Landscape_only,research/SIMILAR_PLATFORMS.md
Tax2Win,India_direct,https://tax2win.in,DIY free + add-ons; CA-assisted,Free + add-ons,One-click Form 16; fast filing,Limited free features; add-ons required for complexity,"Honest single companion unlock, no add-on surprises",Landscape_only,research/SIMILAR_PLATFORMS.md
TaxSpanner / myITreturn,India_direct,https://myitreturn.com,Established DIY + assisted,Rs 399-2999,Reliable; assisted options,Dated UX; no standout differentiator,Premium calm UX + reconcile wedge,Landscape_only,research/SIMILAR_PLATFORMS.md
EZTax,India_direct,https://eztax.in,"DIY + assisted, value pricing",Low-cost tiers,Cheap; broad coverage,Cluttered UX; trust signals weak,Trust-at-anxiety design; clarity,None,GAP_MATRIX_2026.md
KoinX / TaxNodes,India_adjacent,https://koinx.com,Crypto-specialist P&L,Varies,Crypto P&L computation,Narrow scope; not full ITR,Full ITR companion with CG as first-class head,None,research/SIMILAR_PLATFORMS.md
qna.tax (Quicko forum),India_adjacent,https://qna.tax,Community Q&A (Discourse),Free,Real answers to real edge cases; searchable,Not a filing tool; answers scattered across threads,Turn recurring threads into in-product help + guided flow,Landscape_only,research/USER_PAINPOINTS_2026.md
TaxSaathi / TaxSathi,India_adjacent,https://taxsaathi.com,Name-collision check (brand),n/a,n/a - brand collision reference,Naming overlap risk for our brand,Distinct companion positioning + name decision,None,brand/BRAND_NAMING_2026.md
TurboTax (Intuit),Global_UX_ref,https://turbotax.intuit.com,Guided interview wizard (US),Tiered SKUs,Interview gold standard; one Q per screen; filing-ready % before pay,US-only; late paywall; refund-max hype,India AIS/26AS reconcile; pay after value (we reject refund hype),Landscape_only,COMPETITOR_ANALYSIS.md; itr-filing-wireframes/COMPETITOR_GLOBAL.md
H&R Block,Global_UX_ref,https://www.hrblock.com,DIY + expert + in-store (US),SKU ladder,Persistent help pane; income-first wizard; mode switching,US forms; expert-first tone; max-refund hype,Salaried DIY wedge; honest optimization,Landscape_only,COMPETITOR_ANALYSIS.md
Stripe,Global_UX_ref,https://stripe.com,Payments infra; activation = first charge,n/a,Incremental onboarding; inline validation; dashboard density; activation KPI,Not tax; dev-oriented,Treat Form 16 upload like 'first charge'; defer PAN/OTP,Landscape_only,COMPETITOR_ANALYSIS.md; DESIGN_SYSTEM.md
Mercury,Global_UX_ref,https://mercury.com,Startup banking; two-phase onboarding,n/a,Two-phase gate; real-time doc parse feedback; demo before signup; no upsell,Not tax; US,Phase 1 = name + Form 16; Phase 2 = PAN/bank at pay,Landscape_only,COMPETITOR_ANALYSIS.md; DESIGN_SYSTEM.md
Ramp,Global_UX_ref,https://ramp.com,Corporate finance automation,n/a,Contextual trust placement; AI reasoning transparency; bento marketing; itemized proof,Not tax; SMB finance,Trust cards at upload/mismatch/pay; AI autonomy guardrails,Landscape_only,COMPETITOR_ANALYSIS.md; DESIGN_SYSTEM.md
Linear,Global_UX_ref,https://linear.app,Product storytelling; motion restraint,n/a,Density + purposeful motion; clean light/dark,Not fintech,Section rhythm; status affordances; motion communicates state,None,DESIGN_SYSTEM.md
