ID,Name,Archetype,ITR_form,Key_documents,Pain_theme,Expected_journey_A-F,Screen_must_show,Fixture_ID,Source
CS-1,Aditi,Single-employer salaried (simplest),ITR-1,One Form 16,"T4 regime, T9 form",A-F clean happy path,Regime recommendation + 'you are filing ITR-1' confidence + portal walkthrough,PersonaForm16 (base),case-studies/CASE_STUDIES_2026.md; e2e/fixtures/personas.ts
CS-2,Rohan,"Job change, two Form 16s",ITR-1/2,Two Form 16s,T-extra multi-employer,A-F with aggregation gate,Per-employer TDS breakdown + 'why you now owe tax' explanation before pay,PersonaForm16 x2,case-studies/CASE_STUDIES_2026.md (CS-2)
CS-3,Meera,AIS mismatch (extra interest/dividend),ITR-1,Form 16 + AIS,T1 reconciliation,"A-F, hard stop at mismatch",Form 16 vs AIS side-by-side; resolve before copy to portal,PersonaAisLine,case-studies/CASE_STUDIES_2026.md (CS-3)
CS-4,Vikram,Investor - capital gains (equity/MF),ITR-2,Form 16 + broker P&L + AIS,T2 capital gains,"A-F, ITR-2 route",'CG detected -> ITR-2'; 111A/112A rates; what the portal CG schedule needs,PersonaDocuments (CG),case-studies/CASE_STUDIES_2026.md (CS-4)
CS-5,Sana,F&O / intraday trader,ITR-3,Broker P&L + turnover + AIS,T2 F&O,"A-F, ITR-3 route",Turnover/audit threshold honesty + 'complex -> consider expert' option,PersonaDocuments (F&O),case-studies/CASE_STUDIES_2026.md (CS-5)
CS-6,Karan,Freelancer / 44ADA presumptive,ITR-4,Bank + invoices + AIS,T3 freelancer,"A-F, presumptive route",44ADA 50% deemed profit explainer + advance tax note,PersonaDocuments (business),case-studies/CASE_STUDIES_2026.md (CS-6)
CS-7,Priya,House property / home loan,ITR-1/2,Form 16 + interest cert + AIS,T6 property,A-F with HP section,Let-out vs self-occupied; 24(b) interest cap; portal HP schedule guide,PersonaDocuments (HP),case-studies/CASE_STUDIES_2026.md (CS-7)
CS-8,Arjun,NRI with Indian income,ITR-2,AIS + property/interest + TRC,T6 NRI,"A-F, non-resident route",Residential status gate + honest escalation for complex NRI cases,PersonaFixture (non_resident),case-studies/CASE_STUDIES_2026.md (CS-8)
MC-1,Carousel: Salaried,Marketing persona - salaried,ITR-1,Form 16,T4/T9,Landing -> A,RegimeCompareCard; '15-minute' honest framing,n/a,lib/copy/competitorInspired.ts (PERSONA_CAROUSEL)
MC-2,Carousel: Trader,Marketing persona - trader/investor,ITR-2/3,Broker import,T2,Landing -> A,Import strip (broker connect); CG/F&O reassurance,n/a,lib/copy/competitorInspired.ts
MC-3,Carousel: Freelancer,Marketing persona - freelancer,ITR-4,Bank + invoices,T3,Landing -> A,Presumptive explainer entry; honest scope,n/a,lib/copy/competitorInspired.ts
