name,com,in,co,app,ai,notes
taxsahaati,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,MVP-aligned spelling; no major live incumbent found
lastminuteitr,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Current product name; all core TLDs open per DNS
lastminute-itr,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Hyphenated; weaker verbally
sahiitr,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Short; sahi = correct in Hindi
itrpath,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Portal-walkthrough metaphor
form16guide,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Strong SEO wedge; narrow umbrella brand
reconcileitr,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,AIS/Form 16 reconciliation wedge
taxsamajh,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Education/blog angle; samajh = understanding
deadlineitr,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Urgency positioning
itrready,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Readiness framing
portalitr,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Portal companion metaphor
karfile,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,kar = tax; karfile.com TAKEN
itrguide,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,itrguide.com TAKEN
taxsaathi,TAKEN,TAKEN,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,AVOID: live competitor taxsaathi.com
taxsathi,TAKEN,TAKEN,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,AVOID: live competitor taxsathi.com
etaxsaathi,TAKEN,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,etaxsaathi.com competitor; .in free
taxdost,TAKEN,TAKEN,LIKELY_FREE,LIKELY_FREE,UNKNOWN,dost = friend; .com/.in taken
lastminute,TAKEN,TAKEN,UNKNOWN,TAKEN,TAKEN,Generic word; do not use alone
taxcompass,TAKEN,TAKEN,LIKELY_FREE,TAKEN,TAKEN,Incumbent brand
filingbuddy,TAKEN,TAKEN,LIKELY_FREE,LIKELY_FREE,LIKELY_FREE,Buddy = filing service vibe
taxclarity,TAKEN,TAKEN,LIKELY_FREE,TAKEN,TAKEN,Incumbent brand
taxprep,TAKEN,UNKNOWN,TAKEN,TAKEN,TAKEN,Generic; crowded
